"Freq [GHz]","dB(S(FloquetPort1:2,FloquetPort1:2)) []","dB(S(FloquetPort2:2,FloquetPort1:2)) []"
78.4,-0.0733894608904562,-inf
78.5,-0.0927480707072935,-inf
78.6,-0.1268684430736,-inf
78.7,-0.193022803475025,-inf
78.8,-0.327479564152795,-inf
78.9,-0.50025556673151,-inf
79,-0.387377941053068,-inf
79.1,-0.189065386707135,-inf
79.2,-0.096794295523418,-inf
79.3,-0.0572600034190875,-inf
79.4,-0.0384912740879981,-inf
79.5,-0.0286541754702464,-inf
79.6,-0.0231204033939697,-inf
79.7,-0.0198931514827433,-inf
79.8,-0.0180563765116422,-inf
79.9,-0.0172261995052785,-inf
80,-0.0174233611464217,-inf
80.1,-0.0194110347127693,-inf
80.2,-0.0272570472953737,-inf
80.3,-0.0859316365009653,-inf
80.4,-0.501455761090592,-inf
80.5,-0.0373067868632346,-inf
80.6,-0.0195881647232107,-inf
80.7,-0.0154569204899439,-inf
80.8,-0.0138954659223741,-inf
80.9,-0.0131616664109063,-inf
81,-0.0127792993783751,-inf
81.1,-0.0125749639987635,-inf
81.2,-0.012472954160124,-inf
81.3,-0.0124357554591783,-inf
81.4,-0.0124429614854186,-inf
81.5,-0.0124826649067955,-inf
81.6,-0.0125475529191908,-inf
81.7,-0.012632993705688,-inf
81.8,-0.0127360493350178,-inf
81.9,-0.0128549576359693,-inf
82,-0.012988872012213,-inf
82.1,-0.0131377566633097,-inf
82.2,-0.0133023859670479,-inf
82.3,-0.0134844227214384,-inf
82.4,-0.0136865640178608,-inf
82.5,-0.0139127518355014,-inf
82.6,-0.0139863822921654,-inf
82.7,-0.0141479115122298,-inf
82.8,-0.0143896144651274,-inf
82.9,-0.0147045392462693,-inf
83,-0.0150867709475947,-inf
83.1,-0.0155317283614834,-inf
83.2,-0.0160365061375946,-inf
83.3,-0.0166002804687933,-inf
83.4,-0.0172248044044342,-inf
83.5,-0.0179150309652278,-inf
83.6,-0.0186799208086808,-inf
83.7,-0.0195335204815669,-inf
83.8,-0.0204964447055216,-inf
83.9,-0.0215979752036795,-inf
84,-0.0228791249183049,-inf
84.1,-0.0243972609413271,-inf
84.2,-0.0262333384641254,-inf
84.3,-0.0285037085567046,-inf
84.4,-0.0313803948961029,-inf
84.5,-0.0351281968215704,-inf
84.6,-0.0401784622671822,-inf
84.7,-0.0472935165940178,-inf
84.8,-0.0579995235703278,-inf
84.9,-0.0760658361055947,-inf
85,-0.115391887102561,-inf
85.1,-0.237135427867556,-inf
85.2,-0.0559216191303373,-inf
85.3,-0.096572670290238,-inf
85.4,-0.155384485283087,-inf
85.5,-0.17225068313945,-inf
85.6,-0.110877974880944,-inf
85.7,-0.0509499831834676,-inf
85.8,-0.0255212000182422,-inf
85.9,-0.0164441850514927,-inf
86,-0.0200343678227161,-inf
86.1,-0.03804085230781,-inf
86.2,-0.0753846446233589,-inf
86.3,-0.126659615062138,-inf
86.4,-0.151299854442501,-inf
86.5,-0.133751444870103,-inf
86.6,-0.103685893834571,-inf
86.7,-0.0790175762188595,-inf
86.8,-0.0617407443958678,-inf
86.9,-0.049921517934145,-inf
87,-0.0416995550879244,-inf
87.1,-0.0358129837683592,-inf
87.2,-0.0314605277471467,-inf
87.3,-0.0281346177858845,-inf
87.4,-0.0255103060213089,-inf
87.5,-0.0233829359222764,-inf
87.6,-0.0216506295848881,-inf
87.7,-0.020394726498974,-inf
87.8,-0.0205166308607883,-inf
87.9,-0.0317929315286403,-inf
88,-0.73951285944507,-inf
88.1,-0.0565126021665648,-inf
88.2,-0.031045679369594,-inf
88.3,-0.0246120543928847,-inf
88.4,-0.021642208866855,-inf
88.5,-0.0198509237479266,-inf
88.6,-0.0186043687100344,-inf
88.7,-0.0176713702604983,-inf
88.8,-0.01699287930637,-inf
88.9,-0.0168099640090348,-inf
89,-0.0199996507553582,-inf
89.1,-0.483952224889011,-inf
89.2,-0.0405592773804835,-inf
89.3,-0.0241967121494694,-inf
89.4,-0.0210103797812505,-inf
89.5,-0.0200166407540591,-inf
89.6,-0.0201301760874426,-inf
89.7,-0.0221667846339221,-inf
89.8,-0.036002358863056,-inf
89.9,-6.73715696252721,-inf
90,-0.0354849665301045,-inf
