"Freq [GHz]","dB(S(FloquetPort1:1,FloquetPort1:1)) []","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
88.5,-0.0199084350380369,-inf
88.6,-0.0186459419569541,-inf
88.7,-0.0176985109798145,-inf
88.8,-0.0170058343115042,-inf
88.9,-0.0168111058392739,-inf
89,-0.0200819345260623,-inf
89.1,-0.588194543210766,-inf
89.2,-0.039704025365432,-inf
89.3,-0.0240945972285283,-inf
89.4,-0.0209999049939935,-inf
89.5,-0.0200502606591725,-inf
89.6,-0.0202228929337139,-inf
89.7,-0.0224254150044801,-inf
89.8,-0.0375032204361357,-inf
89.9,-4.19757266976887,-inf
90,-0.0355065136756964,-inf
